user_id,event_name,event_timestamp,traffic_source,device,country,revenue
6498,visit,1/1/2023 0:06,social,mobile,Canada,0
3744,visit,1/1/2023 0:24,social,desktop,Brazil,0
8346,visit,1/1/2023 1:32,organic,mobile,Canada,0
7832,visit,1/1/2023 1:37,paid_search,desktop,Canada,0
961,visit,1/1/2023 1:38,paid_search,mobile,USA,0
873,visit,1/1/2023 2:02,organic,desktop,Brazil,0
3008,visit,1/1/2023 2:08,direct,desktop,USA,0
5962,visit,1/1/2023 4:13,organic,mobile,Brazil,0
1773,visit,1/1/2023 5:52,social,mobile,USA,0
3557,visit,1/1/2023 5:59,organic,mobile,Germany,0
6498,signup,1/1/2023 6:41,social,mobile,Canada,0
1332,visit,1/1/2023 7:04,social,desktop,Japan,0
8279,visit,1/1/2023 7:42,referral,mobile,Other,0
8720,visit,1/1/2023 8:26,direct,tablet,UK,0
8487,visit,1/1/2023 8:55,paid_search,mobile,UK,0
4051,visit,1/1/2023 9:44,direct,desktop,Germany,0
4829,visit,1/1/2023 10:40,direct,desktop,UK,0
4829,signup,1/1/2023 11:06,direct,desktop,UK,0
8365,visit,1/1/2023 11:22,direct,desktop,USA,0
3744,signup,1/1/2023 11:23,social,desktop,Brazil,0
4449,visit,1/1/2023 11:45,email,mobile,Japan,0
1377,visit,1/1/2023 11:56,direct,mobile,India,0
2094,visit,1/1/2023 12:53,paid_search,tablet,Australia,0
2151,visit,1/1/2023 14:46,paid_search,mobile,USA,0
9432,visit,1/1/2023 14:52,organic,tablet,Japan,0
1332,signup,1/1/2023 14:52,social,desktop,Japan,0
3407,visit,1/1/2023 14:53,organic,desktop,Germany,0
8908,visit,1/1/2023 15:03,organic,mobile,Germany,0
8182,visit,1/1/2023 15:03,paid_search,mobile,Brazil,0
2648,visit,1/1/2023 15:44,organic,desktop,USA,0
8771,visit,1/1/2023 17:39,paid_search,mobile,India,0
8558,visit,1/1/2023 19:02,social,tablet,France,0
2094,signup,1/1/2023 19:07,paid_search,tablet,Australia,0
961,signup,1/1/2023 20:44,paid_search,mobile,USA,0
166,visit,1/1/2023 21:19,paid_search,desktop,Germany,0
5792,visit,1/1/2023 21:27,paid_search,desktop,France,0
3723,visit,1/1/2023 21:33,referral,desktop,Australia,0
9770,visit,1/1/2023 21:39,referral,desktop,Brazil,0
168,visit,1/1/2023 22:34,organic,desktop,USA,0
151,visit,1/2/2023 0:32,social,desktop,UK,0
6914,visit,1/2/2023 0:36,organic,mobile,Germany,0
21,visit,1/2/2023 0:47,referral,mobile,Germany,0
5962,signup,1/2/2023 2:19,organic,mobile,Brazil,0
168,signup,1/2/2023 3:06,organic,desktop,USA,0
6752,visit,1/2/2023 5:24,organic,desktop,India,0
6752,signup,1/2/2023 6:09,organic,desktop,India,0
873,signup,1/2/2023 6:26,organic,desktop,Brazil,0
3882,visit,1/2/2023 7:53,referral,desktop,USA,0
1549,visit,1/2/2023 8:44,referral,mobile,USA,0
263,visit,1/2/2023 8:45,social,desktop,India,0
858,visit,1/2/2023 8:55,referral,mobile,UK,0
9878,visit,1/2/2023 9:00,email,mobile,USA,0
7278,visit,1/2/2023 9:23,paid_search,desktop,Japan,0
7498,visit,1/2/2023 10:23,email,tablet,Germany,0
5159,visit,1/2/2023 10:42,email,mobile,USA,0
7296,visit,1/2/2023 10:45,paid_search,desktop,UK,0
3407,signup,1/2/2023 10:47,organic,desktop,Germany,0
6179,visit,1/2/2023 11:48,referral,desktop,Australia,0
7518,visit,1/2/2023 12:24,social,desktop,France,0
5159,signup,1/2/2023 13:04,email,mobile,USA,0
5996,visit,1/2/2023 13:37,direct,desktop,USA,0
8487,signup,1/2/2023 13:40,paid_search,mobile,UK,0
9939,visit,1/2/2023 14:05,direct,desktop,USA,0
7350,visit,1/2/2023 14:12,organic,mobile,Germany,0
6002,visit,1/2/2023 14:27,organic,desktop,France,0
6206,visit,1/2/2023 14:39,organic,mobile,Canada,0
4532,visit,1/2/2023 14:52,referral,mobile,France,0
5929,visit,1/2/2023 15:54,social,desktop,Germany,0
7518,signup,1/2/2023 16:14,social,desktop,France,0
8980,visit,1/2/2023 16:38,organic,mobile,France,0
394,visit,1/2/2023 17:11,social,desktop,USA,0
8558,signup,1/2/2023 17:24,social,tablet,France,0
9805,visit,1/2/2023 17:57,paid_search,mobile,Australia,0
3008,signup,1/2/2023 18:11,direct,desktop,USA,0
671,visit,1/2/2023 18:40,email,tablet,Other,0
7433,visit,1/2/2023 18:46,organic,tablet,Germany,0
8633,visit,1/2/2023 19:13,paid_search,mobile,Canada,0
4551,visit,1/2/2023 19:26,paid_search,desktop,UK,0
8279,signup,1/2/2023 19:37,referral,mobile,Other,0
8972,visit,1/2/2023 20:03,organic,mobile,UK,0
